iteration,team,leftover_budget
0,Brad,0.0
0,Brandon,0.0
0,CJ,0.0
0,Coby,0.0
0,Evan,0.0
0,James,0.0
0,Jason,0.0
0,Reid,0.0
0,Ryan J,0.0
0,Sam,0.0
0,Shane,0.0
0,Travis,0.0
1,Brad,0.0
1,Brandon,0.0
1,CJ,0.0
1,Coby,0.0
1,Evan,0.0
1,James,0.0
1,Jason,0.0
1,Reid,0.0
1,Ryan J,0.0
1,Sam,0.0
1,Shane,0.0
1,Travis,0.0
2,Brad,0.0
2,Brandon,0.0
2,CJ,0.0
2,Coby,0.0
2,Evan,0.0
2,James,0.0
2,Jason,0.0
2,Reid,0.0
2,Ryan J,0.0
2,Sam,0.0
2,Shane,0.0
2,Travis,0.0
3,Brad,0.0
3,Brandon,0.0
3,CJ,0.0
3,Coby,0.0
3,Evan,0.0
3,James,0.0
3,Jason,0.0
3,Reid,0.0
3,Ryan J,0.0
3,Sam,0.0
3,Shane,0.0
3,Travis,0.0
4,Brad,0.0
4,Brandon,0.0
4,CJ,0.0
4,Coby,0.0
4,Evan,0.0
4,James,0.0
4,Jason,0.0
4,Reid,0.0
4,Ryan J,0.0
4,Sam,0.0
4,Shane,0.0
4,Travis,0.0
5,Brad,0.0
5,Brandon,0.0
5,CJ,0.0
5,Coby,0.0
5,Evan,0.0
5,James,0.0
5,Jason,0.0
5,Reid,0.0
5,Ryan J,0.0
5,Sam,0.0
5,Shane,0.0
5,Travis,0.0
6,Brad,0.0
6,Brandon,0.0
6,CJ,0.0
6,Coby,0.0
6,Evan,0.0
6,James,0.0
6,Jason,0.0
6,Reid,0.0
6,Ryan J,0.0
6,Sam,0.0
6,Shane,0.0
6,Travis,0.0
7,Brad,0.0
7,Brandon,0.0
7,CJ,0.0
7,Coby,0.0
7,Evan,0.0
7,James,0.0
7,Jason,0.0
7,Reid,0.0
7,Ryan J,0.0
7,Sam,0.0
7,Shane,0.0
7,Travis,0.0
8,Brad,0.0
8,Brandon,0.0
8,CJ,0.0
8,Coby,0.0
8,Evan,0.0
8,James,0.0
8,Jason,0.0
8,Reid,0.0
8,Ryan J,0.0
8,Sam,0.0
8,Shane,0.0
8,Travis,0.0
9,Brad,0.0
9,Brandon,0.0
9,CJ,0.0
9,Coby,0.0
9,Evan,0.0
9,James,0.0
9,Jason,0.0
9,Reid,0.0
9,Ryan J,0.0
9,Sam,0.0
9,Shane,0.0
9,Travis,0.0
10,Brad,0.0
10,Brandon,0.0
10,CJ,0.0
10,Coby,0.0
10,Evan,0.0
10,James,0.0
10,Jason,0.0
10,Reid,0.0
10,Ryan J,0.0
10,Sam,0.0
10,Shane,0.0
10,Travis,0.0
11,Brad,0.0
11,Brandon,0.0
11,CJ,0.0
11,Coby,0.0
11,Evan,0.0
11,James,0.0
11,Jason,0.0
11,Reid,0.0
11,Ryan J,0.0
11,Sam,0.0
11,Shane,0.0
11,Travis,0.0
12,Brad,0.0
12,Brandon,0.0
12,CJ,0.0
12,Coby,0.0
12,Evan,0.0
12,James,0.0
12,Jason,0.0
12,Reid,0.0
12,Ryan J,0.0
12,Sam,0.0
12,Shane,0.0
12,Travis,0.0
13,Brad,0.0
13,Brandon,0.0
13,CJ,0.0
13,Coby,0.0
13,Evan,0.0
13,James,0.0
13,Jason,0.0
13,Reid,0.0
13,Ryan J,0.0
13,Sam,0.0
13,Shane,0.0
13,Travis,0.0
14,Brad,0.0
14,Brandon,0.0
14,CJ,0.0
14,Coby,0.0
14,Evan,0.0
14,James,0.0
14,Jason,0.0
14,Reid,0.0
14,Ryan J,0.0
14,Sam,0.0
14,Shane,0.0
14,Travis,0.0
15,Brad,0.0
15,Brandon,0.0
15,CJ,0.0
15,Coby,0.0
15,Evan,0.0
15,James,0.0
15,Jason,0.0
15,Reid,0.0
15,Ryan J,0.0
15,Sam,0.0
15,Shane,0.0
15,Travis,0.0
16,Brad,0.0
16,Brandon,0.0
16,CJ,0.0
16,Coby,0.0
16,Evan,0.0
16,James,0.0
16,Jason,0.0
16,Reid,0.0
16,Ryan J,0.0
16,Sam,0.0
16,Shane,0.0
16,Travis,0.0
